pair,country_code_alpha2_A,country_code_alpha2_B,Overall_Similarity,country_code_alpha3_A,country_code_alpha3_B
"('ES', 'BR')",ES,BR,0.9880227827591679,ESP,BRA
"('AU', 'IL')",AU,IL,0.9879648914796726,AUS,ISR
"('HU', 'SC')",HU,SC,0.9878663975368112,HUN,SYC
"('MX', 'BR')",MX,BR,0.9877698724925343,MEX,BRA
"('NO', 'GR')",NO,GR,0.9876734999774949,NOR,GRC
"('SE', 'IL')",SE,IL,0.9874017142134983,SWE,ISR
"('JP', 'IL')",JP,IL,0.9873980041688862,JPN,ISR
"('SE', 'HU')",SE,HU,0.9872744967523145,SWE,HUN
"('PE', 'CR')",PE,CR,0.9872037010579044,PER,CRI
"('AU', 'DK')",AU,DK,0.9871700121467234,AUS,DNK
"('LT', 'IS')",LT,IS,0.9870947968620799,LTU,ISL
"('KE', 'IS')",KE,IS,0.9870443394976016,KEN,ISL
"('IS', 'PT')",IS,PT,0.9869962669603669,ISL,PRT
"('MD', 'IL')",MD,IL,0.9869765176949162,MDA,ISR
"('CO', 'MD')",CO,MD,0.9868045977056297,COL,MDA
"('AU', 'RO')",AU,RO,0.9867269029706355,AUS,ROU
"('ES', 'MX')",ES,MX,0.9867156449240247,ESP,MEX
"('HU', 'IS')",HU,IS,0.9867117741497973,HUN,ISL
"('AU', 'BR')",AU,BR,0.9864810689574038,AUS,BRA
"('LU', 'IL')",LU,IL,0.9864771663293139,LUX,ISR
"('NL', 'PE')",NL,PE,0.9864186967932945,NLD,PER
"('US', 'MX')",US,MX,0.9863282996286379,USA,MEX
"('DK', 'GR')",DK,GR,0.9861252479919865,DNK,GRC
"('NL', 'BR')",NL,BR,0.9860920799022838,NLD,BRA
"('CO', 'AU')",CO,AU,0.9860218428314027,COL,AUS
"('PE', 'MD')",PE,MD,0.985647580215995,PER,MDA
"('HU', 'CA')",HU,CA,0.9856326383366749,HUN,CAN
"('NL', 'SE')",NL,SE,0.9856276222093167,NLD,SWE
"('CO', 'MX')",CO,MX,0.9856237948998999,COL,MEX
"('MX', 'MD')",MX,MD,0.985484751622209,MEX,MDA
"('ES', 'AT')",ES,AT,0.9851623857444258,ESP,AUT
"('AU', 'NO')",AU,NO,0.9851072879330113,AUS,NOR
"('MX', 'AT')",MX,AT,0.9850636833036274,MEX,AUT
"('AU', 'FR')",AU,FR,0.9849528710206662,AUS,FRA
"('ES', 'DK')",ES,DK,0.984944292273605,ESP,DNK
"('AU', 'SC')",AU,SC,0.9846583161656559,AUS,SYC
"('NL', 'SC')",NL,SC,0.9846065858275735,NLD,SYC
"('CA', 'IL')",CA,IL,0.9845645157914368,CAN,ISR
"('AU', 'PE')",AU,PE,0.984223626612431,AUS,PER
"('NL', 'CA')",NL,CA,0.9839947036525729,NLD,CAN
"('AU', 'MX')",AU,MX,0.9837410611727969,AUS,MEX
"('JP', 'SC')",JP,SC,0.9836623605975212,JPN,SYC
"('IL', 'AT')",IL,AT,0.9836462165594371,ISR,AUT
"('NL', 'LU')",NL,LU,0.9835212307657492,NLD,LUX
"('US', 'DK')",US,DK,0.9832562728148673,USA,DNK
"('CO', 'CR')",CO,CR,0.9830909037238309,COL,CRI
"('ES', 'NO')",ES,NO,0.9830335347265998,ESP,NOR
"('US', 'IS')",US,IS,0.983025280645158,USA,ISL
"('CA', 'AT')",CA,AT,0.982974637337892,CAN,AUT
"('CO', 'ES')",CO,ES,0.9828594781171628,COL,ESP
"('MX', 'PE')",MX,PE,0.9828096004601634,MEX,PER
"('LT', 'DK')",LT,DK,0.9826583106760239,LTU,DNK
"('ES', 'SE')",ES,SE,0.9825715524038182,ESP,SWE
"('MX', 'DK')",MX,DK,0.9824415353941,MEX,DNK
"('NL', 'CZ')",NL,CZ,0.9823968421304997,NLD,CZE
"('RO', 'HU')",RO,HU,0.9823874407400671,ROU,HUN
"('HU', 'LU')",HU,LU,0.982087880537637,HUN,LUX
"('ZA', 'PT')",ZA,PT,0.9819814914446949,ZAF,PRT
"('CO', 'IS')",CO,IS,0.981925625277657,COL,ISL
"('ES', 'PE')",ES,PE,0.9819228085180721,ESP,PER
"('FR', 'HU')",FR,HU,0.9819072568678371,FRA,HUN
"('JP', 'IS')",JP,IS,0.9818299658010923,JPN,ISL
"('MD', 'SC')",MD,SC,0.981807289824245,MDA,SYC
"('FR', 'IL')",FR,IL,0.9817663958371098,FRA,ISR
"('MD', 'DK')",MD,DK,0.9817483175468866,MDA,DNK
"('SE', 'MD')",SE,MD,0.9815544531763801,SWE,MDA
"('CO', 'IL')",CO,IL,0.9814162444558229,COL,ISR
"('PT', 'CZ')",PT,CZ,0.9813743595217242,PRT,CZE
"('AU', 'LU')",AU,LU,0.9812120392312059,AUS,LUX
"('BR', 'CR')",BR,CR,0.9809244040211191,BRA,CRI
"('ES', 'IS')",ES,IS,0.9806405341856302,ESP,ISL
"('SK', 'AT')",SK,AT,0.9805334797210578,SVK,AUT
"('KE', 'SK')",KE,SK,0.9803255072876527,KEN,SVK
"('US', 'CZ')",US,CZ,0.980232935059984,USA,CZE
"('NZ', 'DK')",NZ,DK,0.9800731469365453,NZL,DNK
"('NL', 'FR')",NL,FR,0.9799567135115456,NLD,FRA
"('KE', 'DK')",KE,DK,0.9798823926120936,KEN,DNK
"('RO', 'MD')",RO,MD,0.9797603518790361,ROU,MDA
"('AT', 'CR')",AT,CR,0.9796512047956418,AUT,CRI
"('IL', 'SC')",IL,SC,0.9795623266675516,ISR,SYC
"('CA', 'PL')",CA,PL,0.9795534742531243,CAN,POL
"('IS', 'DK')",IS,DK,0.9795332920891691,ISL,DNK
"('MD', 'NO')",MD,NO,0.9795254608815571,MDA,NOR
"('DK', 'AT')",DK,AT,0.9794429684607814,DNK,AUT
"('US', 'SE')",US,SE,0.9793735531071128,USA,SWE
"('SK', 'PL')",SK,PL,0.9793671278235805,SVK,POL
"('RO', 'IL')",RO,IL,0.9793333494582172,ROU,ISR
"('NZ', 'CZ')",NZ,CZ,0.9792988600711316,NZL,CZE
"('AU', 'SK')",AU,SK,0.9792776374336413,AUS,SVK
"('JP', 'DK')",JP,DK,0.9792672153429492,JPN,DNK
"('DK', 'PL')",DK,PL,0.9791786191862891,DNK,POL
"('US', 'CA')",US,CA,0.9790612556105213,USA,CAN
"('US', 'CR')",US,CR,0.9790457375807275,USA,CRI
"('PE', 'IS')",PE,IS,0.978918122127676,PER,ISL
"('IL', 'BR')",IL,BR,0.9787919917015341,ISR,BRA
"('NL', 'RO')",NL,RO,0.9787717547218241,NLD,ROU
"('US', 'NO')",US,NO,0.9786490446590682,USA,NOR
"('SE', 'DZ')",SE,DZ,0.9786061818158452,SWE,DZA
"('RO', 'ES')",RO,ES,0.9785942533506907,ROU,ESP
"('MD', 'CA')",MD,CA,0.9785500625250332,MDA,CAN
"('PE', 'IL')",PE,IL,0.978007699370619,PER,ISR
"('LT', 'CZ')",LT,CZ,0.9778947228383579,LTU,CZE
"('IS', 'BR')",IS,BR,0.9777028427151375,ISL,BRA
"('NO', 'PL')",NO,PL,0.977634923717763,NOR,POL
"('FR', 'PL')",FR,PL,0.9776222544274779,FRA,POL
"('ES', 'SC')",ES,SC,0.9775999201629596,ESP,SYC
"('AU', 'BE')",AU,BE,0.9774608818658588,AUS,BEL
"('CZ', 'IL')",CZ,IL,0.9773583377400684,CZE,ISR
"('LU', 'PL')",LU,PL,0.9773427780515003,LUX,POL
"('ES', 'LU')",ES,LU,0.9773311686374826,ESP,LUX
"('SE', 'PL')",SE,PL,0.9773306370075694,SWE,POL
"('ES', 'CA')",ES,CA,0.9772642986074245,ESP,CAN
"('JP', 'SK')",JP,SK,0.9772056712011763,JPN,SVK
"('JP', 'SE')",JP,SE,0.9769658452766647,JPN,SWE
"('MD', 'IS')",MD,IS,0.9768202388609107,MDA,ISL
"('LT', 'NO')",LT,NO,0.9768090315970924,LTU,NOR
"('BR', 'SC')",BR,SC,0.9767893995377523,BRA,SYC
"('KE', 'CR')",KE,CR,0.9767852787921066,KEN,CRI
"('MX', 'SC')",MX,SC,0.9766422206404288,MEX,SYC
"('ES', 'FR')",ES,FR,0.9765134862808922,ESP,FRA
"('MX', 'CZ')",MX,CZ,0.9765031630172575,MEX,CZE
"('HU', 'SK')",HU,SK,0.9764964255255234,HUN,SVK
"('NL', 'PL')",NL,PL,0.9764665050085222,NLD,POL
