alpha3,num_observations,num_observations_blocked,num_unique_sites_measured,num_unique_sites_blocked,alpha2,File Sharing and Storage,Reference,Information Technology,Instant Messaging,News and Media,Shopping,Advertising,Streaming Media and Download,Search Engines and Portals,Entertainment,Internet Radio and TV,Travel,Other Adult Materials,Business,Illegal or Unethical,Pornography,Newsgroups and Message Boards,Personal Websites and Blogs,Finance and Banking,Sports,Education,Government and Legal Organizations,Games,Malicious Websites,Content Servers,Auction,Arts and Culture,Real Estate,Web Analytics,Social Networking,Job Search,Domain Parking,Web-based Applications,Society and Lifestyles,Gambling,Internet Telephony,Web Hosting,Phishing,Web-based Email,Peer-to-peer File Sharing,Dating,Political Organizations,General Organizations,Not Rated,Newly Observed Domain,Global Religion,Armed Forces,Extremist Groups,Explicit Violence,Drug Abuse,Health and Wellness,Spam URLs,Secure Websites,Advocacy Organizations,Hacking,Marijuana,Proxy Avoidance,Web Chat,Sex Education,Information and Computer Security,Lingerie and Swimsuit,Discrimination,Meaningless Content,Restaurant and Dining,Charitable Organizations,Freeware and Software Downloads,Personal Vehicles,Dynamic DNS,Tobacco,Alcohol,Abortion,Online Meeting,Brokerage and Trading,Alternative Beliefs,Medicine,Child Education,Remote Access
LTU,253611,827,6485,54,LT,0.0,1.9347037484885128,1.0882708585247884,0.0,11.85006045949214,0.2418379685610641,0.0,0.0,0.12091898428053205,11.124546553808948,0.0,0.12091898428053205,0.0,0.0,0.36275695284159615,0.0,2.781136638452237,0.12091898428053205,0.0,0.0,10.761789600967353,0.6045949214026602,9.189842805320435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4510278113663846,0.0,0.0,0.0,0.9673518742442564,0.0,0.0,0.0,11.124546553808948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.905683192261185,0.0,0.0,1.6928657799274487,0.0,0.0,10.882708585247883,0.0,0.0,0.0,6.408706166868198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12091898428053205,0.0,0.0,0.0,3.1438935912938333,0.0,0.0,0.0,0.0
ROU,454556,706,6636,52,RO,0.0,0.56657223796034,0.42492917847025496,0.0,9.773371104815864,0.56657223796034,0.0,0.0,0.56657223796034,9.773371104815864,0.0,0.0,0.28328611898017,0.28328611898017,0.28328611898017,0.0,0.8498583569405099,0.0,0.0,0.0,11.048158640226628,1.13314447592068,12.889518413597735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56657223796034,0.0,0.0,0.0,0.141643059490085,0.141643059490085,0.0,0.141643059490085,10.623229461756374,0.0,0.0,0.28328611898017,0.0,0.0,0.28328611898017,0.0,0.0,0.0,0.0,18.980169971671387,0.0,0.0,0.0,0.0,0.0,11.189801699716714,0.0,0.0,0.0,8.78186968838527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42492917847025496,0.0,0.0,0.0,0.0
KEN,261931,480,6861,44,KE,0.0,1.4583333333333333,0.0,0.0,13.125,0.4166666666666667,0.0,0.0,0.8333333333333334,11.25,0.20833333333333334,0.0,0.0,0.0,0.20833333333333334,0.0,2.2916666666666665,0.0,0.0,0.20833333333333334,10.0,1.0416666666666667,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,1.0416666666666667,0.0,0.0,0.0,10.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.958333333333334,0.0,0.0,2.7083333333333335,0.0,0.0,10.0,0.0,0.0,0.20833333333333334,6.666666666666667,0.20833333333333334,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0
ESP,269974,863,6361,55,ES,0.0,1.5063731170336037,0.46349942062572425,0.0,10.660486674391658,0.23174971031286212,0.0,0.0,0.34762456546929316,10.081112398609502,0.0,0.11587485515643106,0.0,0.11587485515643106,0.5793742757821553,0.0,2.20162224797219,0.0,0.0,0.0,11.239860950173812,1.2746234067207416,11.471610660486675,0.0,0.0,0.0,0.0,0.0,0.0,0.11587485515643106,0.11587485515643106,1.1587485515643106,0.0,0.0,0.11587485515643106,0.6952491309385863,0.0,0.0,0.23174971031286212,11.239860950173812,0.0,0.11587485515643106,0.11587485515643106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.977983777520278,0.0,0.0,1.6222479721900347,0.0,0.0,11.355735805330243,0.0,0.0,0.11587485515643106,7.068366164542295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6651216685979144,0.0,0.0,0.0,0.0
VNM,134019,201,7331,38,VN,0.0,13.930348258706468,0.0,0.0,1.492537313432836,0.4975124378109453,0.0,0.0,1.9900497512437811,4.975124378109452,0.0,0.4975124378109453,0.0,0.0,1.492537313432836,0.9950248756218906,0.9950248756218906,0.0,0.0,0.0,11.940298507462687,0.4975124378109453,10.447761194029852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.985074626865672,0.0,0.0,0.4975124378109453,11.940298507462687,0.0,0.0,0.0,0.0,0.0,0.9950248756218906,0.0,0.0,0.0,0.0,5.970149253731344,0.0,0.0,4.477611940298507,0.0,0.0,11.940298507462687,0.0,0.0,0.0,6.965174129353234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.477611940298507,0.0,0.0,0.0,0.0
MEX,312670,692,6966,39,MX,0.0,3.3236994219653178,0.14450867052023122,0.0,12.138728323699421,0.0,0.0,0.0,0.28901734104046245,10.260115606936417,0.14450867052023122,0.0,0.0,0.0,0.28901734104046245,0.0,2.4566473988439306,0.0,0.14450867052023122,0.14450867052023122,9.971098265895954,0.0,10.115606936416185,0.0,0.0,0.0,0.0,0.0,0.0,0.14450867052023122,0.0,0.5780346820809249,0.0,0.0,0.0,2.601156069364162,0.0,0.0,0.0,11.127167630057803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.017341040462428,0.0,0.0,3.3236994219653178,0.0,0.0,8.815028901734104,0.0,0.0,0.0,7.22543352601156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.745664739884393,0.0,0.0,0.0,0.0
PER,277118,725,6876,56,PE,0.0,1.3793103448275863,0.13793103448275862,0.0,14.206896551724139,1.103448275862069,0.0,0.13793103448275862,0.41379310344827586,12.137931034482758,0.0,0.13793103448275862,0.0,0.0,0.13793103448275862,0.13793103448275862,3.0344827586206895,0.13793103448275862,0.0,0.0,10.068965517241379,0.9655172413793104,8.413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103448275862069,0.0,0.0,0.0,0.41379310344827586,0.0,0.0,0.0,10.482758620689655,0.13793103448275862,0.0,0.13793103448275862,0.0,0.0,0.27586206896551724,0.0,0.0,0.0,0.0,13.793103448275861,0.0,0.0,1.5172413793103448,0.0,0.0,10.620689655172415,0.0,0.0,0.0,5.241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.13793103448275862,0.0,3.4482758620689653,0.0,0.0,0.0,0.0
SWE,1046974,3565,6830,79,SE,0.0,0.5890603085553997,0.08415147265077139,0.0,9.7054698457223,0.1402524544179523,0.0,0.8695652173913043,1.20617110799439,9.256661991584853,0.0,0.0,0.0,0.9256661991584852,0.2805049088359046,0.08415147265077139,0.7854137447405329,0.056100981767180924,0.0,0.0,10.995792426367462,0.08415147265077139,11.388499298737727,0.0,0.0,0.0,0.0,0.0,0.0,0.056100981767180924,0.056100981767180924,0.2805049088359046,0.0,0.0,0.0,0.42075736325385693,0.028050490883590462,0.0,0.0,11.220196353436185,0.5049088359046283,0.0,1.150070126227209,0.0,0.0,0.028050490883590462,0.0,0.0,0.0,0.0,17.194950911640955,0.0,0.0,0.6171107994389902,0.0,0.0,11.107994389901823,0.0,0.0,0.0,9.67741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028050490883590462,0.0,1.1781206171107994,0.0,0.0,0.0,0.0
NZL,640663,2037,7210,105,NZ,0.0,2.110947471772214,0.3436426116838488,0.049091801669121256,11.73294059891998,0.29455081001472755,0.0,0.14727540500736377,1.1782032400589102,10.603829160530191,0.0,0.049091801669121256,0.14727540500736377,0.14727540500736377,0.7854688267059401,0.14727540500736377,2.6018654884634267,0.0,0.049091801669121256,0.049091801669121256,10.55473735886107,0.7363770250368189,9.229258713794795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1782032400589102,0.0,0.0,0.14727540500736377,1.3254786450662739,0.049091801669121256,0.0,0.19636720667648502,10.652920962199312,0.049091801669121256,0.049091801669121256,0.19636720667648502,0.0,0.0,0.049091801669121256,0.0,0.0,0.0,0.0,13.25478645066274,0.0,0.0,2.160039273441335,0.0,0.049091801669121256,10.652920962199312,0.0,0.0,0.049091801669121256,5.694648993618066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09818360333824251,0.0,0.0,0.0,3.190967108492882,0.0,0.0,0.0,0.0
FRA,1154653,3893,6488,82,FR,0.0,0.33393269971744155,0.10274852298998202,0.0,10.069355253018237,0.05137426149499101,0.0,0.05137426149499101,0.23118417672745956,9.684048291805805,0.0,0.025687130747495505,0.025687130747495505,0.05137426149499101,0.2825584382224505,0.10274852298998202,0.5394297456974056,0.0,0.0,0.025687130747495505,10.96840482918058,0.23118417672745956,12.50963267403031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565116876444901,0.0,0.0,0.025687130747495505,0.2825584382224505,0.025687130747495505,0.0,0.0,11.225276136655536,0.15412278448497302,0.0,0.6421782686873876,0.0,0.0,0.05137426149499101,0.0,0.0,0.0,0.0,19.213973799126638,0.0,0.0,0.33393269971744155,0.0,0.0,11.225276136655536,0.0,0.0,0.0,10.300539429745697,0.0,0.025687130747495505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6421782686873876,0.0,0.0,0.0,0.0
IDN,62600,156,5144,26,ID,0.0,7.051282051282051,0.6410256410256411,0.0,12.179487179487179,0.0,0.0,0.6410256410256411,1.9230769230769231,6.410256410256411,0.0,0.0,0.0,0.0,0.6410256410256411,0.0,5.128205128205129,0.0,0.0,0.0,11.538461538461538,0.0,4.487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.128205128205129,0.0,0.0,0.0,10.897435897435898,0.6410256410256411,0.0,3.2051282051282053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9230769230769231,0.0,0.0,7.051282051282051,0.0,0.0,11.538461538461538,0.0,0.0,0.0,4.487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.487179487179487,0.0,0.0,0.0,0.0
ZAF,428756,1428,6991,48,ZA,0.0,10.92436974789916,0.0,0.0,12.044817927170868,0.2801120448179272,0.0,0.0,0.0,10.714285714285714,0.0700280112044818,0.0,0.0,0.0700280112044818,0.21008403361344538,0.0,3.361344537815126,0.0,0.0,0.0,10.084033613445378,0.9103641456582633,6.582633053221288,0.0,0.0,0.0,0.0,0.0,0.0,0.0700280112044818,0.0,0.7002801120448179,0.0,0.0,0.0,1.8207282913165266,0.0700280112044818,0.0,0.0,10.014005602240896,0.0700280112044818,0.0,0.0700280112044818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.134453781512605,0.0,0.0,2.5210084033613445,0.0,0.0,9.943977591036415,0.0,0.0,0.0,4.69187675070028,0.0,0.0700280112044818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0
HUN,459667,1232,6982,56,HU,0.0,1.5422077922077921,0.0,0.0,11.363636363636363,0.3246753246753247,0.0,0.16233766233766234,0.40584415584415584,10.551948051948052,0.0,0.0,0.0,0.0,0.487012987012987,0.16233766233766234,2.1915584415584415,0.0,0.0,0.0,10.957792207792208,0.8116883116883117,10.146103896103897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8116883116883117,0.0,0.0,0.0,1.0551948051948052,0.0,0.0,0.08116883116883117,11.2012987012987,0.16233766233766234,0.0,0.7305194805194806,0.0,0.0,0.08116883116883117,0.0,0.0,0.0,0.0,14.529220779220779,0.0,0.0,1.5422077922077921,0.0,0.0,10.957792207792208,0.0,0.0,0.0,7.224025974025974,0.0,0.08116883116883117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.435064935064935,0.0,0.0,0.0,0.0
SVK,333431,1039,6326,59,SK,0.09624639076034648,1.7324350336862369,0.09624639076034648,0.09624639076034648,12.415784408084697,0.0,0.0,0.0,0.48123195380173245,10.587102983638113,0.0,0.0,0.0,0.19249278152069296,0.28873917228103946,0.0,2.598652550529355,0.0,0.0,0.0,7.218479307025986,1.4436958614051973,10.202117420596728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1549566891241578,0.0,0.0,3.4648700673724737,0.8662175168431184,0.0,0.0,0.09624639076034648,7.218479307025986,0.0,0.0,0.28873917228103946,0.0,0.0,0.09624639076034648,0.09624639076034648,0.0,0.0,0.0,15.30317613089509,0.0,0.0,1.6361886429258903,0.0,0.0,11.838306063522618,0.0,0.0,0.0,7.410972088546679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0798845043310874,0.0,0.0,0.0,0.0
CHL,391557,358,12225,71,CL,0.0,2.793296089385475,0.0,0.27932960893854747,8.938547486033519,0.27932960893854747,0.0,0.0,0.5586592178770949,6.983240223463687,0.0,0.0,0.0,0.0,0.5586592178770949,0.0,3.910614525139665,0.0,0.0,0.0,11.731843575418994,0.8379888268156425,6.983240223463687,0.0,0.0,0.0,0.0,0.0,0.0,6.70391061452514,0.0,0.5586592178770949,0.0,0.5586592178770949,1.1173184357541899,1.675977653631285,0.27932960893854747,0.0,0.0,9.776536312849162,0.0,0.0,0.5586592178770949,0.0,0.0,0.27932960893854747,0.0,0.0,0.0,0.0,8.938547486033519,0.0,0.0,2.793296089385475,0.0,0.0,11.1731843575419,0.0,0.0,0.0,6.424581005586592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.307262569832402,0.0,0.0,0.0,0.0
CHN,154926,1223,6933,77,CN,0.0,6.868356500408831,0.9811937857726901,0.0,57.39983646770237,0.08176614881439084,0.0,0.0,0.6541291905151267,1.7988552739165986,0.0,0.08176614881439084,0.0,0.08176614881439084,0.1635322976287817,0.08176614881439084,1.1447260834014719,0.0,0.08176614881439084,0.0,3.515944399018806,0.24529844644317253,2.7800490596892886,0.0,0.0,0.0,0.0,0.0,0.0,0.4088307440719542,0.1635322976287817,0.0,0.0,0.08176614881439084,0.0,1.062959934587081,0.1635322976287817,0.0,0.0,3.597710547833197,0.08176614881439084,0.0,0.0,0.0,0.0,6.459525756336877,0.0,0.0,0.0,0.0,1.7170891251022078,0.0,0.0,3.188879803761243,0.0,0.0,3.515944399018806,0.0,0.0,0.0,1.9623875715453802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6353229762878168,0.0,0.0,0.0,0.0
LUX,439481,1501,6339,54,LU,0.0,0.7328447701532311,0.19986675549633579,0.0,10.0599600266489,0.7994670219853431,0.0,0.06662225183211193,0.06662225183211193,8.461025982678214,0.0,0.0,0.0,0.0,0.06662225183211193,0.0,0.46635576282478347,0.0,0.0,0.0,11.525649566955362,0.0,11.125916055962692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0659560293137909,0.0,0.0,0.0,0.9327115256495669,0.0,0.0,0.0,11.592271818787475,0.46635576282478347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98800799467022,0.0,0.0,0.7994670219853431,0.0,0.0,11.725516322451698,0.0,0.0,0.0,11.05929380413058,0.0,0.13324450366422386,0.0,0.0,0.06662225183211193,0.0,0.0,0.0,0.0,0.0,0.0,0.5996002664890073,0.0,0.0,0.0,0.0
